,menu_name,menu_category,menu_image
0,ชุดเบอร์เกอร์ชีสลาวา หมู,"เบอร์เกอร์, ฟาสต์ฟู้ด/จานด่วน",https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742830470/Burger%20King%20%28%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%81%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%84%E0%B8%B4%E0%B8%87%29/%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%81%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%8A%E0%B8%B5%E0%B8%AA%E0%B8%A5%E0%B8%B2%E0%B8%A7%E0%B8%B2%20%E0%B8%AB%E0%B8%A1%E0%B8%B9.png
1,ชุดดับเบิ้ลเบอร์เกอร์ชีสลาวา เนื้อ,"เบอร์เกอร์, ฟาสต์ฟู้ด/จานด่วน",https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742830467/Burger%20King%20%28%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%81%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%84%E0%B8%B4%E0%B8%87%29/%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B8%94%E0%B8%B1%E0%B8%9A%E0%B9%80%E0%B8%9A%E0%B8%B4%E0%B9%89%E0%B8%A5%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%81%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%8A%E0%B8%B5%E0%B8%AA%E0%B8%A5%E0%B8%B2%E0%B8%A7%E0%B8%B2%20%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD.png
2,เย็นตาโฟ,อาหารจีน,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742858724/%E0%B9%80%E0%B8%8A%E0%B9%87%E0%B8%87%E0%B8%8B%E0%B8%B4%E0%B8%A1%E0%B8%AD%E0%B8%B5%E0%B9%8A%20and%20%E0%B9%82%E0%B8%94%E0%B9%88%E0%B8%87%E0%B8%94%E0%B8%B1%E0%B8%87%E0%B8%9A%E0%B8%B0%E0%B8%AB%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B8%AE%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%81%E0%B8%87/%E0%B9%80%E0%B8%A2%E0%B9%87%E0%B8%99%E0%B8%95%E0%B8%B2%E0%B9%82%E0%B8%9F.png
3,ลาบแซลมอนทอด,"อาหารฟิวชั่น,อาหารทะเล",https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742832508/Salad%20Factory%20%28%E0%B8%AA%E0%B8%A5%E0%B8%B1%E0%B8%94%E0%B9%81%E0%B8%9F%E0%B8%84%E0%B8%97%E0%B8%AD%E0%B8%A3%E0%B8%B5%E0%B9%88%29/%E0%B8%A5%E0%B8%B2%E0%B8%9A%E0%B9%81%E0%B8%8B%E0%B8%A5%E0%B8%A1%E0%B8%AD%E0%B8%99%E0%B8%97%E0%B8%AD%E0%B8%94.png
4,ตำไทยไข่เค็ม,อาหารอีสาน,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742834836/%E0%B8%AB%E0%B8%99%E0%B8%B6%E0%B9%88%E0%B8%87%E0%B8%AA%E0%B8%B3%E0%B8%A3%E0%B8%B1%E0%B8%9A%20%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%84%E0%B8%97%E0%B8%A2%E0%B8%9F%E0%B8%B4%E0%B8%A7%E0%B8%8A%E0%B8%B1%E0%B8%99%20%28%E0%B8%AB%E0%B8%99%E0%B8%B6%E0%B9%88%E0%B8%87%E0%B8%AA%E0%B8%B3%E0%B8%A3%E0%B8%B1%E0%B8%9A%20%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%84%E0%B8%97%E0%B8%A2%E0%B8%9F%E0%B8%B4%E0%B8%B4%E0%B8%A7%E0%B8%8A%E0%B8%B1%E0%B8%99%29/%E0%B8%95%E0%B8%B3%E0%B9%84%E0%B8%97%E0%B8%A2%E0%B9%84%E0%B8%82%E0%B9%88%E0%B9%80%E0%B8%84%E0%B9%87%E0%B8%A1.png
5,Ice Premium Chocolate,เครื่องดื่ม/น้ำผลไม้,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742831048/Middle%20Earth%20Coffee/Ice%20Premium%20Chocolate.png
6,พิซซาทาโก้ต้มยำทะเล,"พิซซ่า,อาหารไทย,อาหารทะเล",https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742832405/Salad%20Factory%20%28%E0%B8%AA%E0%B8%A5%E0%B8%B1%E0%B8%94%E0%B9%81%E0%B8%9F%E0%B8%84%E0%B8%97%E0%B8%AD%E0%B8%A3%E0%B8%B5%E0%B9%88%29/%E0%B8%9E%E0%B8%B4%E0%B8%8B%E0%B8%8B%E0%B8%B2%E0%B8%97%E0%B8%B2%E0%B9%82%E0%B8%81%E0%B9%89%E0%B8%95%E0%B9%89%E0%B8%A1%E0%B8%A2%E0%B8%B3%E0%B8%97%E0%B8%B0%E0%B9%80%E0%B8%A5.png
7,Ice Mocha,เครื่องดื่ม/น้ำผลไม้,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742831047/Middle%20Earth%20Coffee/Ice%20Mocha.png
8,มัทฉะลาเต้ปั่น,เครื่องดื่ม/น้ำผลไม้,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742831552/Pan%20Bagels%20%28%E0%B9%81%E0%B8%9E%E0%B8%99%20%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%A5%E0%B8%AA%E0%B9%8C%29/%E0%B8%A1%E0%B8%B1%E0%B8%97%E0%B8%89%E0%B8%B0%E0%B8%A5%E0%B8%B2%E0%B9%80%E0%B8%95%E0%B9%89%E0%B8%9B%E0%B8%B1%E0%B9%88%E0%B8%99.png
9,Yuzu Espresso Soda,เครื่องดื่ม/น้ำผลไม้,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742831509/Pan%20Bagels%20%28%E0%B9%81%E0%B8%9E%E0%B8%99%20%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%A5%E0%B8%AA%E0%B9%8C%29/Yuzu%20Espresso%20Soda.png
10,คาปูชิโน่ปั่น,เครื่องดื่ม/น้ำผลไม้,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742831525/Pan%20Bagels%20%28%E0%B9%81%E0%B8%9E%E0%B8%99%20%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%A5%E0%B8%AA%E0%B9%8C%29/%E0%B8%84%E0%B8%B2%E0%B8%9B%E0%B8%B9%E0%B8%8A%E0%B8%B4%E0%B9%82%E0%B8%99%E0%B9%88%E0%B8%9B%E0%B8%B1%E0%B9%88%E0%B8%99.png
11,มอคค่าปั่น,เครื่องดื่ม/น้ำผลไม้,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742831545/Pan%20Bagels%20%28%E0%B9%81%E0%B8%9E%E0%B8%99%20%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%A5%E0%B8%AA%E0%B9%8C%29/%E0%B8%A1%E0%B8%AD%E0%B8%84%E0%B8%84%E0%B9%88%E0%B8%B2%E0%B8%9B%E0%B8%B1%E0%B9%88%E0%B8%99.png
12,ดาร์คโกโก้ปั่น,เครื่องดื่ม/น้ำผลไม้,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742831539/Pan%20Bagels%20%28%E0%B9%81%E0%B8%9E%E0%B8%99%20%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%A5%E0%B8%AA%E0%B9%8C%29/%E0%B8%94%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%84%E0%B9%82%E0%B8%81%E0%B9%82%E0%B8%81%E0%B9%89%E0%B8%9B%E0%B8%B1%E0%B9%88%E0%B8%99.png
13,มอคค่าร้อน,เครื่องดื่ม/น้ำผลไม้,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742831546/Pan%20Bagels%20%28%E0%B9%81%E0%B8%9E%E0%B8%99%20%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%A5%E0%B8%AA%E0%B9%8C%29/%E0%B8%A1%E0%B8%AD%E0%B8%84%E0%B8%84%E0%B9%88%E0%B8%B2%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%99.png
