restaurant_name,menu_name,cloudinary_url
Amatissimo Caffe Summakorn (Amatissimo Caffe),Almond Croissant,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829803/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Almond%20Croissant.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Amatissimo's Burnt Cheese Cake,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829804/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Amatissimo%27s%20Burnt%20Cheese%20Cake.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Amatissimo's Dark Chocolate,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829805/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Amatissimo%27s%20Dark%20Chocolate.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Baby White Chocolate,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829807/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Baby%20White%20Chocolate.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Baked Eggs,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829808/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Baked%20Eggs.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Bolan Sugartown,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829808/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Bolan%20Sugartown.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),BREAKFAST SET,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829809/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/BREAKFAST%20SET.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Brittany Butter Brioche,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829810/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Brittany%20Butter%20Brioche.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Burnt Cheese Croissant,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829812/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Burnt%20Cheese%20Croissant.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Canele de bordeaux,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742829813/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Canele%20de%20bordeaux.png
