restaurant_name,menu_name,cloudinary_url
Amatissimo Caffe Summakorn (Amatissimo Caffe),Carrot Fig Cake & Cream Cheese Frosting,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857874/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Carrot%20Fig%20Cake%20and%20Cream%20Cheese%20Frosting.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Eggs & Toast Bacon,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857876/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Eggs%20and%20Toast%20Bacon.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Eggs & Toast Prosciutto Cotto,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857876/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Eggs%20and%20Toast%20Prosciutto%20Cotto.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Eggs & Toast,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857877/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Eggs%20and%20Toast.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Gateau Noir Pandan & Coconut,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857878/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Gateau%20Noir%20Pandan%20and%20Coconut.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Ham & Cheese Croissant,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857879/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Ham%20and%20Cheese%20Croissant.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Lemon & Brittany Cream Cheese,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857880/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Lemon%20and%20Brittany%20Cream%20Cheese.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Olive Oil Lemon & Almond Cake,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857880/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Olive%20Oil%20Lemon%20and%20Almond%20Cake.png
Amatissimo Caffe Summakorn (Amatissimo Caffe),Strawberry & Brittany Cream Cheese,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857881/Amatissimo%20Caffe%20Summakorn%20%28Amatissimo%20Caffe%29/Strawberry%20and%20Brittany%20Cream%20Cheese.png
Baimiang (ใบเมี่ยง) (ใบเมี่ยง),Chocolate & Mint Sandwich Cookies,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857882/Baimiang%20%28%E0%B9%83%E0%B8%9A%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%87%29%20%28%E0%B9%83%E0%B8%9A%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%87%29/Chocolate%20and%20Mint%20Sandwich%20Cookies.png
Baimiang (ใบเมี่ยง) (ใบเมี่ยง),Crispy Brownies Strawberry & Cashew,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857883/Baimiang%20%28%E0%B9%83%E0%B8%9A%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%87%29%20%28%E0%B9%83%E0%B8%9A%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%87%29/Crispy%20Brownies%20Strawberry%20and%20Cashew.png
Baimiang (ใบเมี่ยง) (ใบเมี่ยง),Matcha & Sprouted Sesame Cookies,https://res.cloudinary.com/dsjt3qmgp/image/upload/v1742857884/Baimiang%20%28%E0%B9%83%E0%B8%9A%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%87%29%20%28%E0%B9%83%E0%B8%9A%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%87%29/Matcha%20and%20Sprouted%20Sesame%20Cookies.png
